date,close_adj
2011-01-03,604.35
2011-01-04,602.12
2011-01-05,609.07
2011-01-06,613.5
2011-01-07,616.44
2011-01-10,614.21
2011-01-11,616.01
2011-01-12,616.87
2011-01-13,616.69
2011-01-14,624.18
2011-01-18,639.63
2011-01-19,631.75
2011-01-20,626.77
2011-01-21,611.83
2011-01-24,611.08
2011-01-25,619.91
2011-01-26,616.5
2011-01-27,616.79
2011-01-28,600.99
2011-01-31,600.36
2011-02-01,611.04
2011-02-02,612
2011-02-03,610.15
2011-02-04,610.98
2011-02-07,614.295
2011-02-08,618.38
2011-02-09,616.5
2011-02-10,616.44
2011-02-11,624.5
2011-02-14,628.15
2011-02-15,624.15
2011-02-16,624.22
2011-02-17,625.26
2011-02-18,630.08
2011-02-22,610.21
2011-02-23,611.32
2011-02-24,608.82
2011-02-25,610.04
2011-02-28,613.4
2011-03-01,600.76
2011-03-02,600.79
2011-03-03,609.56
2011-03-04,600.62
2011-03-07,591.66
2011-03-08,592.31
2011-03-09,591.77
2011-03-10,580.3
2011-03-11,576.71
2011-03-14,569.99
2011-03-15,569.56
2011-03-16,557.1
2011-03-17,561.36
2011-03-18,561.06
2011-03-21,576.5
2011-03-22,577.32
2011-03-23,582.16
2011-03-24,586.89
2011-03-25,579.74
2011-03-28,575.36
2011-03-29,581.73
2011-03-30,581.84
2011-03-31,586.76
2011-04-01,591.8
2011-04-04,587.68
2011-04-05,569.09
2011-04-06,574.18
2011-04-07,580
2011-04-08,578.16
2011-04-11,577.37
2011-04-12,570.61
2011-04-13,576.28
2011-04-14,578.51
2011-04-15,530.7
2011-04-18,526.84
2011-04-19,521.53
2011-04-20,525.73
2011-04-21,525.1
2011-04-25,525.05
2011-04-26,532.82
2011-04-27,537.76
2011-04-28,537.97
2011-04-29,544.1
2011-05-02,538.56
2011-05-03,533.89
2011-05-04,535.79
2011-05-05,534.27
2011-05-06,535.3
2011-05-09,537.68
2011-05-10,542.66
2011-05-11,535.45
2011-05-12,535.05
2011-05-13,529.55
2011-05-16,518.42
2011-05-17,530.46
2011-05-18,529.81
2011-05-19,531.25
2011-05-20,524.03
2011-05-23,518.39
2011-05-24,518.26
2011-05-25,519.67
2011-05-26,518.13
2011-05-27,520.9
2011-05-31,529.02
2011-06-01,525.6
2011-06-02,528.06
2011-06-03,523.08
2011-06-06,521.06
2011-06-07,519.03
2011-06-08,519.17
2011-06-09,516.73
2011-06-10,509.505
2011-06-13,504.73
2011-06-14,508.37
2011-06-15,502.95
2011-06-16,500.37
2011-06-17,485.02
2011-06-20,484.58
2011-06-21,493
2011-06-22,487.005
2011-06-23,480.22
2011-06-24,474.88
2011-06-27,482.8
2011-06-28,493.65
2011-06-29,497.57
2011-06-30,506.38
2011-07-01,521.028
2011-07-05,532.44
2011-07-06,535.36
2011-07-07,546.6
2011-07-08,531.99
2011-07-11,527.28
2011-07-12,534.01
2011-07-13,538.26
2011-07-14,528.94
2011-07-15,597.62
2011-07-18,594.94
2011-07-19,602.55
2011-07-20,595.35
2011-07-21,606.99
2011-07-22,618.23
2011-07-25,618.98
2011-07-26,622.52
2011-07-27,607.22
2011-07-28,610.94
2011-07-29,603.69
2011-08-01,606.77
2011-08-02,592.4
2011-08-03,601.17
2011-08-04,577.52
2011-08-05,579.04
2011-08-08,546.02
2011-08-09,573.41
2011-08-10,549.01
2011-08-11,562.13
2011-08-12,563.77
2011-08-15,557.23
2011-08-16,539
2011-08-17,533.15
2011-08-18,504.88
2011-08-19,490.92
2011-08-22,498.17
2011-08-23,518.82
2011-08-24,523.29
2011-08-25,520.04
2011-08-26,526.86
2011-08-29,539.08
2011-08-30,540.7
2011-08-31,540.96
2011-09-01,532.5
2011-09-02,524.84
2011-09-06,522.18
2011-09-07,534.03
2011-09-08,534.96
2011-09-09,524.85
2011-09-12,530.12
2011-09-13,529.52
2011-09-14,532.07
2011-09-15,542.56
2011-09-16,546.68
2011-09-19,546.67
2011-09-20,546.625
2011-09-21,539.2
2011-09-22,520.66
2011-09-23,525.51
2011-09-26,531.89
2011-09-27,539.34
2011-09-28,528.84
2011-09-29,527.5
2011-09-30,515.04
2011-10-03,495.52
2011-10-04,501.9
2011-10-05,504.7
2011-10-06,514.71
2011-10-07,515.12
2011-10-10,537.17
2011-10-11,543.18
2011-10-12,548.5
2011-10-13,558.99
2011-10-14,591.68
2011-10-17,582.41
2011-10-18,590.51
2011-10-19,580.7
2011-10-20,583.67
2011-10-21,590.49
2011-10-24,596.42
2011-10-25,583.16
2011-10-26,586.31
2011-10-27,598.67
2011-10-28,600.14
2011-10-31,592.64
2011-11-01,578.65
2011-11-02,584.82
2011-11-03,597.5
2011-11-04,596.14
2011-11-07,608.33
2011-11-08,612.34
2011-11-09,600.95
2011-11-10,595.08
2011-11-11,608.35
2011-11-14,613
2011-11-15,616.56
2011-11-16,611.47
2011-11-17,600.87
2011-11-18,594.88
2011-11-21,580.94
2011-11-22,580
2011-11-23,570.11
2011-11-25,563
2011-11-28,588.19
2011-11-29,582.93
2011-11-30,599.39
2011-12-01,613.77
2011-12-02,620.36
2011-12-05,625.65
2011-12-06,623.77
2011-12-07,623.39
2011-12-08,616.05
2011-12-09,627.42
2011-12-12,625.39
2011-12-13,625.63
2011-12-14,618.07
2011-12-15,619.54
2011-12-16,625.96
2011-12-19,621.83
2011-12-20,630.37
2011-12-21,625.82
2011-12-22,629.7
2011-12-23,633.14
2011-12-27,640.25
2011-12-28,639.7
2011-12-29,642.4
2011-12-30,645.9