Date,Stock Price,Option Price,Implied Volatility,Delta,Hedging Error,PNL,PNL (with hedge)
2011-01-03,604.35,266.5,0.346102,0.896858,0,0,0
2011-01-04,602.12,265.65,0.353372,0.892891,-1.15354,0.85,-1.15354
2011-01-05,609.07,272,0.353029,0.897283,-0.147804,-5.5,-1.30135
2011-01-06,613.5,276.55,0.356883,0.898322,-0.578836,-10.05,-1.88018
2011-01-07,616.44,277.85,0.349015,0.902874,1.33738,-11.35,-0.542801
2011-01-10,614.21,276.5,0.353081,0.90028,-0.667009,-10,-1.20981
2011-01-11,616.01,276.85,0.345594,0.904136,1.26692,-10.35,0.0571147
2011-01-12,616.87,276.85,0.341497,0.906173,0.774072,-10.35,0.831187
2011-01-13,616.69,275.95,0.336781,0.908089,0.733638,-9.45,1.56482
2011-01-14,624.18,282.35,0.333649,0.913434,0.398321,-15.85,1.96315
2011-01-18,639.63,298.05,0.344608,0.916633,-1.59087,-31.55,0.372277
2011-01-19,631.75,288.15,0.32594,0.920607,2.6736,-21.65,3.04588
2011-01-20,626.77,284.25,0.330523,0.916406,-0.688108,-17.75,2.35777
2011-01-21,611.83,271.35,0.335106,0.906892,-0.794562,-4.85,1.56321
2011-01-24,611.08,269.75,0.328738,0.909328,0.916448,-3.25,2.47966
2011-01-25,619.91,277.55,0.327612,0.914545,0.225842,-11.05,2.7055
2011-01-26,616.5,275.05,0.331631,0.911222,-0.622038,-8.55,2.08346
2011-01-27,616.79,274.7,0.328449,0.912693,0.610839,-8.2,2.6943
2011-01-28,600.99,260.55,0.329913,0.903395,-0.273716,5.95,2.42058
2011-01-31,600.36,259.5,0.326035,0.904966,0.477875,7,2.89846
2011-02-01,611.04,269.35,0.326785,0.910868,-0.188214,-2.85,2.71025
2011-02-02,612,270,0.324885,0.912409,0.221019,-3.5,2.93126
2011-02-03,610.15,269.35,0.331194,0.908944,-1.04151,-2.85,1.88976
2011-02-04,610.98,269.1,0.323762,0.912831,1.00077,-2.6,2.89053
2011-02-07,614.295,271.9,0.32229,0.915381,0.222097,-5.4,3.11262
2011-02-08,618.38,275.5,0.321396,0.918042,0.135373,-9,3.248
2011-02-09,616.5,272.8,0.31509,0.9199,0.970099,-6.3,4.2181
2011-02-10,616.44,272.85,0.315822,0.919683,-0.109062,-6.35,4.10904
2011-02-11,624.5,281.15,0.322157,0.921158,-0.891224,-14.65,3.21781
2011-02-14,628.15,284.9,0.324939,0.921907,-0.391651,-18.4,2.82616
2011-02-15,624.15,281.1,0.324033,0.920458,0.108489,-14.6,2.93465
2011-02-16,624.22,280.55,0.320232,0.922195,0.610559,-14.05,3.54521
2011-02-17,625.26,281.15,0.318678,0.923389,0.355325,-14.65,3.90053
2011-02-18,630.08,285.9,0.320439,0.925174,-0.302774,-19.4,3.59776
2011-02-22,610.21,267.85,0.321416,0.91475,-0.336857,-1.35,3.2609
2011-02-23,611.32,269.9,0.32872,0.91228,-1.0382,-3.4,2.2227
2011-02-24,608.82,267.3,0.326981,0.911724,0.315874,-0.8,2.53858
2011-02-25,610.04,267.4,0.319881,0.915688,1.00901,-0.9,3.54758
2011-02-28,613.4,270.35,0.320014,0.917442,0.123261,-3.85,3.67084
2011-03-01,600.76,258.45,0.317306,0.91178,0.300329,8.05,3.97117
2011-03-02,600.79,258.6,0.317684,0.911847,-0.125817,7.9,3.84536
2011-03-03,609.56,267.05,0.319581,0.916275,-0.456403,-0.55,3.38895
2011-03-04,600.62,258.55,0.318367,0.911735,0.304787,7.95,3.69374
2011-03-07,591.66,249.65,0.313588,0.908655,0.727555,16.85,4.4213
2011-03-08,592.31,250,0.311617,0.910185,0.237475,16.5,4.65877
2011-03-09,591.77,248.95,0.307918,0.911736,0.555213,17.55,5.21398
2011-03-10,580.3,238.3,0.306365,0.905299,0.189093,28.2,5.40308
2011-03-11,576.71,234.85,0.305323,0.903484,0.196848,31.65,5.59992
2011-03-14,569.99,229.05,0.30743,0.897826,-0.274406,37.45,5.32552
2011-03-15,569.56,229.7,0.313386,0.894944,-1.03878,36.8,4.28674
2011-03-16,557.1,220.6,0.325166,0.88042,-2.05383,45.9,2.23291
2011-03-17,561.36,223.7,0.320441,0.886143,0.648093,42.8,2.88101
2011-03-18,561.06,222.4,0.314703,0.888599,1.03127,44.1,3.91228
2011-03-21,576.5,236.35,0.315512,0.899534,-0.232813,30.15,3.67946
2011-03-22,577.32,236.7,0.313141,0.901341,0.384523,29.8,4.06399
2011-03-23,582.16,240.9,0.312708,0.904818,0.159384,25.6,4.22337
2011-03-24,586.89,245.65,0.31508,0.907051,-0.473217,20.85,3.75015
2011-03-25,579.74,239.55,0.315431,0.902743,-0.388685,26.95,3.36147
2011-03-28,575.36,235.1,0.312092,0.901525,0.492248,31.4,3.85372
2011-03-29,581.73,240.4,0.309103,0.907394,0.438987,26.1,4.2927
2011-03-30,581.84,240.7,0.310805,0.90674,-0.204088,25.8,4.08861
2011-03-31,586.76,245.35,0.31225,0.909356,-0.192608,21.15,3.89601
2011-04-01,591.8,249.55,0.311261,0.912863,0.379361,16.95,4.27537
2011-04-04,587.68,245.2,0.308429,0.9116,0.585569,21.3,4.86094
2011-04-05,569.09,229.05,0.30924,0.89948,-0.799692,37.45,4.06124
2011-04-06,574.18,233.65,0.310017,0.902726,-0.0253645,32.85,4.03588
2011-04-07,580,237.75,0.303716,0.909663,1.15025,28.75,5.18613
2011-04-08,578.16,237.15,0.310446,0.905369,-1.0772,29.35,4.10893
2011-04-11,577.37,235.45,0.304546,0.907766,0.981372,31.05,5.0903
2011-04-12,570.61,229.35,0.305056,0.9029,-0.0397749,37.15,5.05053
2011-04-13,576.28,234.5,0.30596,0.906442,-0.0335495,32,5.01698
2011-04-14,578.51,237.1,0.30896,0.906802,-0.581527,29.4,4.43545
2011-04-15,530.7,191.95,0.291452,0.877994,1.79265,74.55,6.2281
2011-04-18,526.84,187.85,0.28707,0.876835,0.708088,78.65,6.93619
2011-04-19,521.53,183.05,0.285832,0.872463,0.141158,83.45,7.07735
2011-04-20,525.73,186.4,0.284228,0.877642,0.31152,80.1,7.38887
2011-04-21,525.1,186.35,0.287451,0.875356,-0.505769,80.15,6.8831
2011-04-25,525.05,186.35,0.287699,0.875345,-0.0464912,80.15,6.83661
2011-04-26,532.82,193,0.287542,0.882867,0.148703,73.5,6.98531
2011-04-27,537.76,196.7,0.283858,0.889517,0.65872,69.8,7.64403
2011-04-28,537.97,196.95,0.283875,0.889961,-0.0658806,69.55,7.57815
2011-04-29,544.1,200.4,0.272041,0.902051,2.00266,66.1,9.58081
2011-05-02,538.56,197.05,0.281718,0.891938,-1.65011,69.45,7.9307
2011-05-03,533.89,193.4,0.285126,0.885848,-0.518045,73.1,7.41266
2011-05-04,535.79,195.75,0.289593,0.885236,-0.669308,70.75,6.74335
2011-05-05,534.27,193.55,0.284043,0.887146,0.852146,72.95,7.59549
2011-05-06,535.3,194.65,0.28598,0.887011,-0.188665,71.85,7.40683
2011-05-09,537.68,196.35,0.284068,0.890288,0.408904,70.15,7.81573
2011-05-10,542.66,200.4,0.281286,0.896544,0.381563,66.1,8.19729
2011-05-11,535.45,193.95,0.281001,0.890447,-0.016427,72.55,8.18087
2011-05-12,535.05,194.2,0.284601,0.88826,-0.608376,72.3,7.57249
2011-05-13,529.55,188.95,0.281541,0.885135,0.362381,77.55,7.93487
2011-05-16,518.42,179,0.280059,0.875033,0.0961574,87.5,8.03103
2011-05-17,530.46,189.6,0.280693,0.886836,-0.0667388,76.9,7.96429
2011-05-18,529.81,189.2,0.281681,0.885851,-0.178748,77.3,7.78554
2011-05-19,531.25,189.85,0.278064,0.889441,0.623325,76.65,8.40887
2011-05-20,524.03,183.5,0.278052,0.882589,-0.0740785,83,8.33479
2011-05-23,518.39,179.8,0.284082,0.873871,-1.27997,86.7,7.05482
2011-05-24,518.26,179.3,0.281867,0.875152,0.384031,87.2,7.43885
2011-05-25,519.67,179.95,0.279331,0.878023,0.581593,86.55,8.02045
2011-05-26,518.13,177.8,0.274569,0.879367,0.795697,88.7,8.81614
2011-05-27,520.9,180.35,0.27548,0.881872,-0.116305,86.15,8.69984
2011-05-31,529.02,186,0.266897,0.895158,1.50864,80.5,10.2085
2011-06-01,525.6,185.15,0.279745,0.884481,-2.21366,81.35,7.99482
2011-06-02,528.06,188.4,0.285911,0.883685,-1.07635,78.1,6.91846
2011-06-03,523.08,183.55,0.28313,0.880456,0.446957,82.95,7.36542
2011-06-06,521.06,181.65,0.282223,0.879123,0.119322,84.85,7.48474
2011-06-07,519.03,180.25,0.284206,0.876128,-0.38677,86.25,7.09797
2011-06-08,519.17,180.5,0.284945,0.876051,-0.129481,86,6.96849
2011-06-09,516.73,178.15,0.283143,0.874808,0.210296,88.35,7.17879
2011-06-10,509.505,171.4,0.27989,0.869033,0.427257,95.1,7.60605
2011-06-13,504.73,166.2,0.273846,0.867183,1.04814,100.3,8.65419
2011-06-14,508.37,169.7,0.275772,0.870513,-0.345557,96.8,8.30863
2011-06-15,502.95,165.15,0.276067,0.864308,-0.170414,101.35,8.13822
2011-06-16,500.37,164.05,0.282285,0.857828,-1.13212,102.45,7.00609
2011-06-17,485.02,152.45,0.288571,0.835211,-1.56972,114.05,5.43637
2011-06-20,484.58,150.7,0.281059,0.838834,1.38064,115.8,6.81701
2011-06-21,493,157.3,0.279128,0.851086,0.460987,109.2,7.278
2011-06-22,487.005,152,0.277995,0.84389,0.195697,114.5,7.47369
2011-06-23,480.22,146.4,0.278148,0.834602,-0.127584,120.1,7.34611
2011-06-24,474.88,141.65,0.275772,0.828527,0.291576,124.85,7.63769
2011-06-27,482.8,149,0.27981,0.838008,-0.789802,117.5,6.84788
2011-06-28,493.65,157,0.27364,0.856331,1.0904,109.5,7.93828
2011-06-29,497.57,160.85,0.27735,0.859064,-0.495588,105.65,7.4427
2011-06-30,506.38,167.65,0.273773,0.871805,0.766165,98.85,8.20886
2011-07-01,521.028,179.8,0.270849,0.889672,0.617955,86.7,8.82682
2011-07-05,532.44,190.35,0.274784,0.898481,-0.399511,76.15,8.42731
2011-07-06,535.36,192.2,0.270354,0.903971,0.771203,74.3,9.19851
2011-07-07,546.6,203.6,0.2791,0.908787,-1.24176,62.9,7.95675
2011-07-08,531.99,189.15,0.270629,0.900983,1.17009,77.35,9.12684
2011-07-11,527.28,185.6,0.274113,0.894663,-0.695751,80.9,8.43109
2011-07-12,534.01,192.85,0.281966,0.896701,-1.23102,73.65,7.20007
2011-07-13,538.26,195.95,0.278932,0.902294,0.708747,70.55,7.90882
2011-07-14,528.94,186.65,0.272463,0.897689,0.888617,79.85,8.79743
2011-07-15,597.62,250.5,0.286755,0.939631,-2.19857,16,6.59886
2011-07-18,594.94,248.15,0.287541,0.937972,-0.170242,18.35,6.42862
2011-07-19,602.55,254.15,0.278988,0.946459,1.13594,12.35,7.56456
2011-07-20,595.35,248.4,0.284638,0.940221,-1.06683,18.1,6.49773
2011-07-21,606.99,258.35,0.278016,0.94959,0.991597,8.15,7.48933
2011-07-22,618.23,268.3,0.273647,0.956825,0.720636,-1.8,8.20996
2011-07-25,618.98,270.25,0.284038,0.952583,-1.23518,-3.75,6.97478
2011-07-26,622.52,273.1,0.27971,0.956244,0.519368,-6.6,7.49415
2011-07-27,607.22,259.55,0.285188,0.947041,-1.08348,6.95,6.41067
2011-07-28,610.94,263.1,0.28601,0.948606,-0.0298916,3.4,6.38078
2011-07-29,603.69,257.6,0.295383,0.94077,-1.38029,8.9,5.0005
2011-08-01,606.77,258.8,0.282071,0.948882,1.69486,7.7,6.69535
2011-08-02,592.4,245.8,0.286391,0.939313,-0.638462,20.7,6.05689
2011-08-03,601.17,254.7,0.293101,0.940899,-0.664526,11.8,5.39237
2011-08-04,577.52,235.1,0.307221,0.920102,-2.65444,31.4,2.73792
2011-08-05,579.04,237.5,0.314129,0.917895,-1.00301,29,1.73491
2011-08-08,546.02,212.65,0.33733,0.882756,-5.46032,53.85,-3.72541
2011-08-09,573.41,231.15,0.305898,0.918571,5.67723,35.35,1.95182
2011-08-10,549.01,213.15,0.326909,0.890173,-4.41457,53.35,-2.46275
2011-08-11,562.13,222.95,0.317161,0.905386,1.87795,43.55,-0.584794
2011-08-12,563.77,224.3,0.31624,0.907323,0.13356,42.2,-0.451235
2011-08-15,557.23,217.55,0.310009,0.905755,0.814701,48.95,0.363466
2011-08-16,539,201.05,0.306605,0.892648,-0.0134348,65.45,0.350031
2011-08-17,533.15,195,0.300983,0.890503,0.826518,71.5,1.17655
2011-08-18,504.88,176.15,0.328354,0.848112,-6.32601,90.35,-5.14946
2011-08-19,490.92,164.85,0.328906,0.831576,-0.540781,101.65,-5.69024
2011-08-22,498.17,169.55,0.323149,0.842967,1.32782,96.95,-4.36242
2011-08-23,518.82,186.45,0.321578,0.866844,0.506259,80.05,-3.85616
2011-08-24,523.29,190.85,0.324613,0.870225,-0.526395,75.65,-4.38256
2011-08-25,520.04,188.95,0.329299,0.864926,-0.929545,77.55,-5.3121
2011-08-26,526.86,192.95,0.320319,0.876044,1.89761,73.55,-3.41449
2011-08-29,539.08,202.7,0.316493,0.889482,0.954175,63.8,-2.46032
2011-08-30,540.7,205.2,0.322599,0.888154,-1.06016,61.3,-3.52047
2011-08-31,540.96,203.3,0.310424,0.894697,2.12981,63.2,-1.39067
2011-09-01,532.5,196.95,0.31562,0.884676,-1.22039,69.55,-2.61106
2011-09-02,524.84,190.45,0.315792,0.877465,-0.277852,76.05,-2.88891
2011-09-06,522.18,188.1,0.314349,0.875994,0.0147296,78.4,-2.87418
2011-09-07,534.03,197.6,0.311643,0.888845,0.878955,68.9,-1.99523
2011-09-08,534.96,199.6,0.317941,0.886848,-1.17474,66.9,-3.16997
2011-09-09,524.85,192.15,0.324517,0.874212,-1.51751,74.35,-4.68748
2011-09-12,530.12,197.45,0.328949,0.877431,-0.694229,69.05,-5.38171
2011-09-13,529.52,196.1,0.324776,0.878982,0.822206,70.4,-4.5595
2011-09-14,532.07,198.9,0.328464,0.879789,-0.559813,67.6,-5.11932
2011-09-15,542.56,206.05,0.318095,0.894517,2.07789,60.45,-3.04143
2011-09-16,546.68,209.3,0.316654,0.898888,0.434154,57.2,-2.60727
2011-09-19,546.67,209.95,0.320697,0.897054,-0.660128,56.55,-3.2674
2011-09-20,546.625,209.9,0.320298,0.897511,0.00862384,56.6,-3.25878
2011-09-21,539.2,205.2,0.328985,0.887312,-1.96516,61.3,-5.22393
2011-09-22,520.66,191.4,0.339293,0.865186,-2.65213,75.1,-7.87607
2011-09-23,525.51,193.95,0.331374,0.873823,1.64496,72.55,-6.2311
2011-09-26,531.89,199.85,0.33402,0.878933,-0.326213,66.65,-6.55731
2011-09-27,539.34,204.8,0.32648,0.889486,1.59683,61.7,-4.96048
2011-09-28,528.84,196.85,0.331219,0.877961,-1.39085,69.65,-6.35133
2011-09-29,527.5,196.5,0.335641,0.874789,-0.827927,70,-7.17926
2011-09-30,515.04,186.25,0.336074,0.862409,-0.651203,80.25,-7.83046
2011-10-03,495.52,172.15,0.346026,0.83634,-2.73575,94.35,-10.5662
2011-10-04,501.9,177.85,0.348824,0.842801,-0.365501,88.65,-10.9317
2011-10-05,504.7,179.1,0.343932,0.848136,1.10859,87.4,-9.82313
2011-10-06,514.71,186.25,0.338608,0.861531,1.33869,80.25,-8.48444
2011-10-07,515.12,186.55,0.337835,0.862696,0.052165,79.95,-8.43227
